formula,AIC,BIC
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-128.545721,-97.281057
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-130.124127,-94.951381
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_set + (1|participant_id),80.488772,103.937269
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_set + (1|problem_id),85.599075,109.047572
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id),-123.836565,-96.479984
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_set + (1|participant_id) + (1|participant_id:TMS_Type),82.488772,109.845352
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_set + (1|problem_id) + (1|problem_id:TMS_Type),87.599075,114.955655
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-126.084062,-94.819398
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-121.836565,-90.571901
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-124.084062,-88.911315
sqrt(keypress_rate..keypresses.per.second.) ~ session * coding_section_no + (1|participant_id),76.898020,100.346517
sqrt(keypress_rate..keypresses.per.second.) ~ session * coding_section_no + (1|problem_id),99.715248,123.163746
sqrt(keypress_rate..keypresses.per.second.) ~ session * coding_section_no + (1|participant_id) + (1|problem_id),-137.267845,-109.911265
sqrt(keypress_rate..keypresses.per.second.) ~ session * problem_order + (1|participant_id),77.300380,100.748877
sqrt(keypress_rate..keypresses.per.second.) ~ session * problem_order + (1|problem_id),97.255107,120.703604
sqrt(keypress_rate..keypresses.per.second.) ~ session * problem_order + (1|participant_id) + (1|problem_id),-138.564519,-111.207938
sqrt(keypress_rate..keypresses.per.second.) ~ session * problem_set + (1|participant_id),79.620033,103.068530
sqrt(keypress_rate..keypresses.per.second.) ~ session * problem_set + (1|problem_id),84.961063,108.409561
sqrt(keypress_rate..keypresses.per.second.) ~ session * problem_set + (1|participant_id) + (1|problem_id),-131.083140,-103.726560
